ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
283,3,4,3,4,3,4,5,5,5,4, ,3,4,4,5,4
284,4,4,4,5,3,4,5,3,4,5,5,3,3,3,3,1
285,2,2,1,4,2,1,5,2,5,5,6,5,3,4,2,1
286,3,2,2,4,2,2,5,3,3,4,5,2,2,2,3,1
287,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4
288,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2
289,5,5,5,6,5,4,4,5,5,4,4,4,4,4,4,4
290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
291,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3
292,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3
293,1,4,4,6,2,2,4,1,1,6,6,1,1,6,1,1
294,3,3,3,4,3,3,6,4,4,3,4,3,3,3,4,3
295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
296,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3
297,6,4,2,4,1,1,6,2,3,5,5,3,3,3,2,1
298,5,5,3,5,4,2,5,2,4,5,5,2,2,2,2,2
299,2,2,2,2,2,2,3,2,2,3,3,2,1,1,1,1
300,4,4,3,2,3,2,4,3,3,4,3,3,3,4,3,3
301,2,2,2,2,1,3,2,2,1,2,1,1,1,1,1,1
302,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4
303,5,5,5,5,2,2,4,6,6,6,6,6,2,4,6,6
304,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
305,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,1
306,5,5,5,3,3,4,4,3,3,5,6,3,3,4,2,4
307,6,6,5,6,4,3,2,4,3,4,5,4,3,6,4,2
308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
309,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5
310,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
311,4,4,5,5,5,6,6,3,6,6,6,5,4,5,3,4
312,5,4,4,3,4,5,3,4,4,3,4,4,3,4,2,2
313,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,4
314,4,4,5,4,4,4,6,4,4,4,4,3,3,5,5,2
315,6,6,5,5,6,6,4,4,5,6,6,5,5,6,4,4
316,4,4,4,3,4,4,2,3,4,4,5,4,2,5,2,2
317,5,3,3,3,4,5,6,4,4,6,6,4,3,5,2,2
318,5,5,3,5,5,5,2,1,3,5,3,5,4,3,4,1
319,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2
320,6,6,6,6,5,5,4,6,5,4,3,4,5,5,5,5
321,5,5,5,6,6,6,6,3,4,2,3,3,2,2,1,4
322,5,5,5,3,3,5,2,2,3,2,3,2,2,3,2,1
323,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4
324,4,3,4,3,4,5,5,4,6,3,3,5,3,3,3,3
325,5,4,5,4,5,5,4,5,5,4,4,5,5,5,4,6
326,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
327,4,4,4,4,4,3,3,3,4,3,2,2,2,3,3,3
328,3,3,3,3,6,5,5,6,5,1,3,3,3,3,4,1
329,2,2,4,4,4,2,2,2,4,2,2,3,2,2,2,2
330,3,3,3,3,3,2,5,2,4,4,6,3,2,5,3,1
331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
332,4,3,3,4,4,4,5,4,5,4,3,4,3,5,3,3
333,4,4,4,5,5,3,5,4,5,5,5,3,3,3,4,2
